name,category,market_name,product_url,product_id,price,manufacturer,amount,measure
Голень индейки на кости п/ф охлажденный вал кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C-%D0%B8%D0%BD%D0%B4%D0%B5%D0%B9%D0%BA%D0%B8-%D0%BE%D1%85%D0%BB-%D0%B3%D0%B2%D1%83-%D0%B8%D0%BD%D0%B4%D1%8E%D1%88%D0%BA%D0%B8%D0%BD--%D0%BA%D0%B3-577272-parent--1,472916,209.5,"ООО ""ОКЕЙ""",1.0,кг
Окорок цыпленка охлажденный Приосколье 820г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/okorok-tsyplenka-broilerov-okhl-prioskol-e-820g-podl-790019-parent-1,785205,218.4,"ЗАО ""Приосколье""",0.82,кг
Бедро цыпленка охлажденное Приосколье 834г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/bedro-tsyplenka-broil-okhl-prioskol-e-834g-podl-790014-parent-1,785208,201.5,"ЗАО ТД ""Приосколье"", Россия",0.834,кг
Окорок цыпленка б/к охлажденный Приосколье 834г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/okorok-b-k-iz-miasa-tsypliat-broilerov-okhl-s-kozhei-prioskol-e-834g-lotok-vsp-790018-parent-1,785210,368.4,"ЗАО ТД ""Приосколье"", Россия",0.834,кг
Филе цыпленка охлажденное Приосколье 834г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-iz-miasa-tsyplenka-broil-b-k-okhl-prioskol-e-834g-podl-790023-parent-1,785211,368.4,"ЗАО ТД ""Приосколье"", Россия",0.834,кг
Голень цыпленка охлажденная Приосколье 900г,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/golen-tsyplenka-broilera-okhl-s-kozhei-prioskol-e-900g-lotok-vsp-790015-parent-1,785213,273.4,"ЗАО ТД ""Приосколье"", Россия",0.9,кг
Филе бедра цыпленка охлажденное Петелинка кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-bedra-tsyplenka-okhlazhdennoe-petelinka-kg-793142-parent-1,790609,408.9,ТД Петелино,1.0,кг
Цыпленок охлажденный н/п ОКЕЙ кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/tushka-tsb-okhl-okei-podl-795106-parent-1,795521,190.4,"ООО «Белгранкорм», Россия",1.0,кг
Окорок цыпленка охлажденный ТЧН! кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/okorok-tsyplenka-tchn-okhl-kg-750847-parent-1,695053,186.4,"ОАО ""Птицефабрика ""Васильевская""",1.0,кг
Голень цыпленка охлажденная ТЧН! кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/golen-tsyplenka-tchn-okhl-kg-750861-parent-1,695068,216.9,"ЗАО ""Куриное царство - Брянск""",1.0,кг
Филе цыпленка охлажденное ТЧН! кг,"Мясо, птица, колбасы",okey,/spb/skidki-1/file-tsyplenka-tchn-okhl-kg-750849-parent-1,695076,259.0,"ООО ""Белгранкорм""",1.0,кг
